"","depth_of_cut","feed_rate","spindle_rate","POWER","ROUGHNESS","Machine"
"223","2.5 mm",268,1425,45.1329611111111,1.07299995422363,"ITM"
"224","2.5 mm",268,1662.5,49.3625944444444,0.695999979972839,"ITM"
"225","2.5 mm",268,1900,44.3129416666667,0.989000022411346,"ITM"
"226","3mm",134,950,88.134,1.609,"ITM"
"227","3mm",134,1187.5,92.148,1.474,"ITM"
"228","3mm",134,1425,86.018,1.495,"ITM"
"229","3mm",134,1662.5,94.264,2.154,"ITM"
"230","3mm",134,1900,86.741,2.862,"ITM"
"231","3mm",167.5,950,69.173,2.165,"ITM"
"232","3mm",167.5,1187.5,71.508,1.919,"ITM"
"233","3mm",167.5,1425,81.318,2.084,"ITM"
"234","3mm",167.5,1662.5,80.423,1.692,"ITM"
"235","3mm",167.5,1900,74.756,2.56,"ITM"
"236","3mm",201,950,64.153,2.3,"ITM"
"237","3mm",201,1187.5,67.621,2.678,"ITM"
"238","3mm",201,1425,65.926,2.239,"ITM"
"239","3mm",201,1662.5,67.097,2.312,"ITM"
"240","3mm",201,1900,67.673,2.273,"ITM"
"241","3mm",234.5,950,58.833,1.887,"ITM"
"242","3mm",234.5,1187.5,57.269,1.596,"ITM"
"243","3mm",234.5,1425,62.352,1.921,"ITM"
"244","3mm",234.5,1662.5,60.768,1.95,"ITM"
"245","3mm",234.5,1900,59.064,2.199,"ITM"
"246","3mm",268,950,47.619,1.797,"ITM"
"247","3mm",268,1187.5,49.65,1.43,"ITM"
"248","3mm",268,1425,50.956,2.75,"ITM"
"249","3mm",268,1662.5,52.887,1.213,"ITM"
"250","3mm",268,1900,53.503,0.966,"ITM"
